"Legal Entity Name","Organization Marketing Name","Contract Number","Organization Type","Plan Type","Contract Effective Date","Tax Status","Parent Organization","CMS Region Responsible","Enrollment","Legal Entity Street","Legal Entity Street2","Legal Entity City","Legal Entity State Code","Legal Entity Zip","Directory Contact Title","Directory Contact Last Name","Directory Contact First Name","Directory Contact Middle Initial","Directory Contact Phone","Directory Contact Phone Ext","Directory Contact Fax","Directory Contact Email","Directory Contact St Address","Directory Contact St Address2","Directory Contact City","Directory Contact State","Directory Contact Zip","Directory Contact Last Update"
"CONNECTICARE, INC.","ConnectiCare","H3528","Local CCP","HMO/HMOPOS","01/01/2008","For Profit","EmblemHealth, Inc.","New York","46,528","175 Scott Swamp Road","","Farmington","CT","06032","VP, Service Delivery","Guggenheim","Victoria","","1-646-447-6221","","","vguggenheim@emblemhealth.com","175 Scott Swamp Road","","Farmington","CT","06032","10/23/2020"
"CONSOLIDATED ASSOC OF RAILROAD EMPLOYEES HC","Consolidated Assoc Of Railroad Employees Hc","H4556","HCPP - 1833 Cost","HCPP - 1833 Cost","01/01/1992","Not-for-Profit/Non-Profit","Consolidated Assoc of Railroad Employees HC","Dallas","1,771","4912 MIDWAY DR.","P.O. BOX 6130","TEMPLE","TX","76502","Medicare Coordinator","Hampton","Kathy","","1-254-773-1330","268","1-254-774-8029","kathyh@carehealthplan.com","P.O. Box 6130","","Temple","TX","76503-6130","08/16/2016"
"COORDINATED CARE CORPORATION","Allwell","H3499","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Dallas","1,230","550 N. Meridian Street Suite 100","","Indianapolis","IN","46204","","Services","Provider","","1-855-766-1541","","","CorporateMedicareComplianceDept@CENTENE.COM","550 N. Meridian Street","Suite 101","Indianapolis","IN","46204","08/15/2017"
"COORDINATED CARE CORPORATION","Allwell","H6348","Local CCP","Local PPO","01/01/2018","For Profit","Centene Corporation","Dallas","424","550 N. Meridian Street Suite 100","","Indianapolis","IN","46204","","Services","Provider","","1-855-766-1541","","","CorporateMedicareComplianceDept@CENTENE.COM","550 N. Meridian Street","Suite 101","Indianapolis","IN","46204","08/15/2017"
"COORDINATED CARE OF WASHINGTON, INC.","Allwell","H0029","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","Centene Corporation","Dallas","","1145 Broadway Suite 300","","Tacoma","WA","98402","","Net","Health","","1-800-867-6564","","1-800-977-8226","CorporateMedicareComplianceDept@Centene.com","PO Box 419069","","Rancho Cordova","CA","95741","08/14/2017"
"COVENTRY HEALTH AND LIFE INSURANCE COMPANY","Aetna Medicare","H1608","Local CCP","Local PPO","07/01/2005","For Profit","CVS Health Corporation","Philadelphia","194,582","1285 Fern Ridge Parkway","Suite 200","St. Louis","MO","63141","","Customer Service","Aetna","","1-866-901-4692","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","11/26/2014"
"COVENTRY HEALTH CARE OF ILLINOIS, INC.","Aetna Medicare","H7301","Local CCP","Local PPO","01/01/2008","For Profit","CVS Health Corporation","Philadelphia","36,998","2110 Fox Drive, Ste. A","","Champaign","IL","61820","","Customer Service","Aetna","","1-866-784-4916","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","11/26/2014"
"COVENTRY HEALTH CARE OF KANSAS, INC.","Aetna Medicare","H5325","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","CVS Health Corporation","Philadelphia","3,892","9401 Indian Creek Parkway","Suite 1300","Wichita","KS","66210","","Customer Service","Aetna","","1-800-533-0367","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","02/01/2018"
"COVENTRY HEALTH CARE OF MISSOURI, INC","Aetna Medicare","H2663","Local CCP","HMO/HMOPOS","11/01/1995","For Profit","CVS Health Corporation","Philadelphia","71,247","1285 Fernridge Parkway","Suite 200","St. Louis","MO","63141","","Customer Service","Aetna","","1-800-533-0367","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","11/25/2014"
"COVENTRY HEALTH CARE OF NEBRASKA, INC.","Aetna Medicare","H4711","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CVS Health Corporation","Philadelphia","10,599","15950 West Dodge Rd","Suite 400","Omaha","NE","68118","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","12/11/2018"
"COVENTRY HEALTH CARE OF VIRGINIA, INC.","Aetna Better Health of Virginia","H1610","Local CCP","HMO/HMOPOS","01/01/2018","For Profit","CVS Health Corporation","Philadelphia","4,789","9881 Mayland Drive","","Richmond","VA","23233","Director, Business Projec","Welch","Richard","","1-855-463-0933","","","WelchR@aetna.com","7400 Campus Road","","New Albany","OH","43054","02/03/2020"
"COVENTRY HEALTH CARE OF WEST VIRGINIA, INC.","Aetna Medicare","H1692","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","CVS Health Corporation","Philadelphia","7,750","500 Virginia Street East","Suite 400","Charleston","WV","25301","","Customer Service","Aetna","","1-888-365-6052","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","11/26/2014"
"DEAN HEALTH PLAN, INC.","Dean Health Plan, Inc.","H5264","1876 Cost","1876 Cost","01/01/1999","For Profit","SSM Healthcare Corporation","Chicago","17,087","1277 DEMING WAY","","MADISON","WI","53717","Customer Service","Service","Customer","","1-888-422-3326","","","DHP.CustomerRelationsResolutionTeam@deancare.com","1277 Deming Way","","Madison","WI","53717","07/02/2019"
"DEAN HEALTH PLAN, INC.","Dean Advantage, Prevea360 Medicare Advantage","H9096","Local CCP","HMO/HMOPOS","01/01/2016","For Profit","SSM Healthcare Corporation","Chicago","6,516","1277 Deming Way","","Madison","WI","53717","Customer Service","Service","Customer","","1-877-232-7566","","","DHP.CustomerRelationsResolutionTeam@deancare.com","1277 Deming Way","","Madison","WI","53717","07/02/2019"
"DELAWARE LIFE INSURANCE COMPANY","Clear Spring Health","H2020","Local CCP","Local PPO","01/01/2019","For Profit","Group 1001","Chicago","118","1601 Trapelo Road, Suite 30","","Waltham","MA","02451","","Deihl","Brandon","","1-847-696-8504","","","Brandon.Deihl@clearspringhealthcare.com","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","03/19/2019"
"DENVER HEALTH MEDICAL PLAN, INC.","Denver Health Medical Plan, Inc.","H5608","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","Denver Health and Hospital Authority","Denver","4,903","777 Bannock Street","Mail Code 6000","Denver","CO","80204","","Services","HealthPlan","","1-303-602-2111","","1-303-602-2099","dhmpinfo@dhha.org","777 Bannock Street","Mail Code 6000","Denver","CO","80204","10/29/2019"
"DEVOTED HEALTH PLAN OF FLORIDA, INC.","Devoted Health","H1290","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","Devoted Health, Inc.","Boston","13,884","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","08/25/2020"
"DEVOTED HEALTH PLAN OF TEXAS, INC.","Devoted Health","H7993","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","Devoted Health, Inc.","Boston","6,142","221 Crescent Street","Suite 202","Waltham","MA","02453","Chief Compliance Officer","O'Kane","Shannon","","1-800-338-6833","","","sokane@devoted.com","221 Crescent Street","Suite 202","Waltham","MA","02453","08/25/2020"
"DIGNITY CARE CORPORATION","Dignity Health Plan","H8492","Local CCP","HMO/HMOPOS","01/01/2020","For Profit","CommCare Corporation","Denver","105","950 West Causeway Approach","","Mandeville","LA","70471","COO","Driggs","Mark","","1-801-455-6839","","","mark.driggs@clrviewsolutions.com","950 West Causeway Approach","","Mandeville","LA","70471","02/09/2019"
"DOCTORS HEALTHCARE PLANS, INC.","Doctors HealthCare Plans, Inc.","H4140","Local CCP","HMO/HMOPOS","01/01/2019","For Profit","DOCTORS HEALTHCARE PLANS, INC.","Atlanta","10,436","2020 Ponce De Leon Blvd","PH 1","Coral Gables","FL","33134","VP Network Development","Duran","Maria","","1-786-578-0940","","","m.dur.5@doctorshcp.com","2020 Ponce De Leon Blvd","PH 1","Coral Gables","FL","33134","06/30/2020"
"EL PASO FIRST HEALTH PLANS, INC.","El Paso Health Advantage Dual SNP","H3407","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","El Paso County Hospital District","Denver","*","1145 Westmoreland","","El Paso","TX","79925","","Rodriguez","Viridiana","","1-915-298-7198","1079","","vrodriguez@elpasohealth.com","1145 Westmoreland","","El Paso","TX","79925","01/24/2020"
"ELDER SVC PLN/E BOSTON HEALTH CENTER","Neighborhood PACE","H2223","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","Elder Svc Pln/E Boston Health Center","New York","609","10 GOVE STREET","","EAST BOSTON","MA","02128","","Pattavina","Pamela","","1-617-569-5800","","","pattavip@EBNHC.ORG","10 Gove St","","East Boston","MA","02128","02/22/2013"
"ELDERHAUS INC.","Elderhaus PACE","H3942","National PACE","National PACE","02/01/2008","Not-for-Profit/Non-Profit","Elderhaus Inc.","Atlanta","119","2222 S. 17th St.","","Wilmington","NC","28401","CEO","Richards","Rick","","1-910-343-8209","","1-910-343-8836","rick.richards@elderhaus.com","2222 S. 17th St.","","Wilmington","NC","28401","06/25/2019"
"ELDERPLAN, INC.","Elderplan","H3347","Local CCP","HMO/HMOPOS","01/01/2006","Not-for-Profit/Non-Profit","Elderplan, Inc.","New York","11,258","6323 SEVENTH AVENUE","","BROOKLYN","NY","11220","AVP of Service Operations","Ferguson","Nadine","","1-718-921-7979","","","nferguso@mjhs.org","6323 Seventh Avenue","","Brooklyn","NY","11220","04/07/2020"
"ELDERSERVE HEALTH, INC.","RiverSpring Health Plans","H6776","Local CCP","HMO/HMOPOS","01/01/2016","Not-for-Profit/Non-Profit","Riverspring Health Holding Corp.","New York","216","80 West 225th Street","","Bronx","NY","10463","Director of Network Devel","Altamirano","Bolivar","","1-347-842-3527","","","bolivar.altamirano@elderservehealth.org","80 West 225th Street","","Bronx","NY","10463","07/17/2019"
"ELEMENT CARE, INC.","Element Care, Inc","H2222","National PACE","National PACE","11/01/2003","Not-for-Profit/Non-Profit","Element Care, Inc.","Boston","920","37 FRIEND STREET","","LYNN","MA","01902","Director Marketing","Jankowitz","Bruce","","1-781-715-6669","","1-781-715-6699","bjankowitz@elementcare.org","37 Friend Street","","Lynn","MA","01901","06/02/2016"
"EMPHESYS INSURANCE COMPANY","Humana","H7617","Local CCP","Local PPO","01/01/2020","For Profit","Humana Inc.","Kansas City","","1221 S. Mo Pac Expy","Suite 300","Austin","TX","787467625","","Collins","Michael","","1-800-448-6262","","","mcollins2@humana.com","101 East Main Street","","Louisville","KY","40202","02/02/2019"
"EMPIRE HEALTHCHOICE ASSURANCE, INC.","Empire BlueCross BlueShield","H3342","Local CCP","Local PPO","09/01/2005","For Profit","Anthem Inc.","Chicago","601","9 Pine Street","14th Floor","New York","NY","10005","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"EMPIRE HEALTHCHOICE HMO, INC.","Empire BlueCross BlueShield","H8432","Local CCP","HMO/HMOPOS","01/01/2014","For Profit","Anthem Inc.","Chicago","72,268","2 Gannett Drive","","South Portland","ME","041066911","","Service","Customer","","1-888-230-7338","","","Medicare.Service.Experience@Anthem.com","145 S. Pioneer Road","","Fon du Lac","WI","54935","08/17/2020"
"EON HEALTH, INC. (GA)","Clear Spring Health","H9589","Local CCP","Local PPO","01/01/2017","For Profit","Group 1001","Chicago","150","3620 Enterprise Way","","Miramar","FL","33025","","Diehl","Brandon","","1-847-696-8504","","","Brandon.Deihl@clearspringhealthcare.com","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","03/01/2019"
"EON HEALTH, INC. (GA)","Clear Spring Health","H6672","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Group 1001","Chicago","228","3620 Enterprise Way","","Miramar","FL","33025","","Diehl","Brandon","","1-847-696-8504","","","Brandon.Deihl@clearspringhealthcare.com","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","03/01/2019"
"EON HEALTH, INC. (SC)","Clear Spring Health","H9403","Local CCP","HMO/HMOPOS","01/01/2017","For Profit","Group 1001","Chicago","107","3620 Enterprise Way","","Miramar","FL","33025","","Diehl","Brandon","","1-847-696-8504","","","Brandon.Deihl@clearspringhealthcare.com","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","03/01/2019"
"EON HEALTH, INC. (SC)","Clear Spring Health","H2334","Local CCP","Local PPO","01/01/2017","For Profit","Group 1001","Chicago","38","3620 Enterprise Way","","Miramar","FL","33025","","Deihl","Brandon","","1-847-696-8504","","","Brandon.Deihl@clearspringhealthcare.com","250 South Northwest Highway","Suite 302","Park Ridge","IL","60068","06/05/2020"
"ESSENCE HEALTHCARE, INC.","Essence Healthcare","H2610","Local CCP","HMO/HMOPOS","06/01/2004","For Profit","Essence Group Holdings Corporation","Kansas City","64,010","13900 Riverport Drive","","Maryland Heights","MO","63043","","Service","Customer","","1-866-597-9560","","1-314-770-6096","customerservice@essencehealthcare.com","13900 Riverport Drive","","Maryland Heights","MO","63043","12/17/2019"
"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","H3351","Local CCP","HMO/HMOPOS","01/01/1990","Not-for-Profit/Non-Profit","Lifetime Healthcare, Inc.","New York","97,887","165 Court Street","","Rochester","NY","14647","Customer Service Departme","Customer Service","*","","1-877-883-9577","","","customerservice@excellus.com","205 Park Club Lane","","Buffalo","NY","14221","08/08/2010"
"EXCELLUS HEALTH PLAN, INC.","Excellus Health Plan, Inc","H3335","Local CCP","Local PPO","07/01/2004","Not-for-Profit/Non-Profit","Lifetime Healthcare, Inc.","New York","60,799","165 Court St.","","Rochester","NY","14647","Customer Service Departme","Customer Service","*","","1-877-883-9577","","","customerservice@excellus.com","205 Park Club Lane","","Buffalo","NY","14221","06/11/2012"
"EXPERIENCE HEALTH, INC.","Experience Health, Inc.","H3777","Local CCP","HMO/HMOPOS","01/01/2020","Not-for-Profit/Non-Profit","EXPERIENCE HEALTH, INC.","Atlanta","1,110","3100 Tower Blvd","Suite 406","Durham","NC","27707","","Service","Customer","","1-984-364-3974","","","rebekah.swain@experiencehealthnc.com","PO Box 17509","","Winston Salem","NC","27116","02/06/2020"
"FALLON COMMUNITY HEALTH PLAN","Fallon Health","H9001","Local CCP","HMO/HMOPOS","04/01/1980","Not-for-Profit/Non-Profit","Fallon Community Health Plan","Boston","20,286","ONE CHESTNUT PLACE","10 CHESTNUT STREET","WORCESTER","MA","016082810","","Service","Customer","","1-508-799-2100","69988","","CustomerService@fallonhealth.org","One Chestnut Place","10 Chestnut Street","Worcester","MA","01608","12/01/2015"
"FALLON COMMUNITY HEALTH PLAN","Summit ElderCare or Fallon Health","H2219","National PACE","National PACE","11/01/2002","Not-for-Profit/Non-Profit","Fallon Community Health Plan","Boston","1,152","10 CHESTNUT STREET","","WORCESTER","MA","01608","Vice President, Summit El","Bostek","Kristine","","1-508-368-9923","","","Kristine.Bostek@fallonhealth.org","One Chestnut Place","10 Chestnut Street","Worcester","MA","01608","09/10/2020"
"FALLON HEALTH WEINBERG, INC.","Fallon Health Weinberg-PACE","H6596","National PACE","National PACE","09/01/2015","Not-for-Profit/Non-Profit","Fallon Community Health Plan","New York","129","461 John James Audobon Parkway","","Amherst","NY","14228","Program Director-PACE","Vause","Mary","","1-716-810-1849","","","Mary.Vause@fallonweinberg.org","461 John James Audubon Parkway","","Amherst","NY","14228","03/26/2018"
"FAMILY HEALTH CENTERS OF SAN DIEGO","Family Health-Center for Older Adults","H1693","National PACE","National PACE","07/01/2019","Not-for-Profit/Non-Profit","Family Health Centers of San Diego","San Francisco","52","823 Gateway Center Way","","San Diego","CA","92102","Director Older Adult Serv","Rodgers","Sandy","","1-619-255-7018","","","sanfordr@fhcsd.org","823 Gateway Center Way","","San Diego","CA","92102","03/23/2020"
"FIRST HEALTH LIFE & HEALTH INSURANCE COMPANY","Aetna Medicare","H9431","Local CCP","Local PPO","01/01/2019","For Profit","CVS Health Corporation","Philadelphia","13,190","3200 Highland Avenue","","Downers Grove","IL","60515","","Customer Service","Aetna","","1-800-624-0756","","","CustomerService@aetna.com","151 Farmington Avenue","","Hartford","CT","06156","01/25/2018"
"FIRSTCAROLINACARE INSURANCE COMPANY","FirstMedicare Direct","H8064","Local CCP","Local PPO","01/01/2013","Not-for-Profit/Non-Profit","The Carle Foundation","Atlanta","645","42 Memorial Dr","","Pinehurst","NC","28374","Compliance Analyst","Pait","Russell","","1-844-201-4957","","","rpait@firstcarolinacare.com","42 Memorial Drive","","Pinehurst","NC","28374","10/31/2019"
"FIRSTCAROLINACARE INSURANCE COMPANY","FirstMedicare Direct","H6306","Local CCP","HMO/HMOPOS","01/01/2013","Not-for-Profit/Non-Profit","The Carle Foundation","Atlanta","5,716","42 Memorial Dr","","Pinehurst","NC","28374","Compliance Analyst","Pait","Russell","","1-844-201-4957","","","rpait@firstcarolinacare.com","42 Memorial Drive","","Pinehurst","NC","28374","10/31/2019"
"FLORIDA BLUE MEDICARE, INC.","Florida Blue HMO","H1035","Local CCP","HMO/HMOPOS","11/01/1985","For Profit","Guidewell Mutual Holding Corporation","Atlanta","82,100","4800 Deerwood Campus","DCC Blgd 100 / 8th Floor","Jacksonville","FL","32246","","Mbr Svcs","Medicare","","1-800-926-6565","","","Earl.BradleyI@bcbsfl.com","4800 Deerwood Campus Parkway","","Jacksonville","FL","32246","01/02/2019"
"FLORIDA PACE CENTERS, INC.","Florida Pace Centers, Inc.","H1043","National PACE","National PACE","01/01/2003","Not-for-Profit/Non-Profit","Miami Jewish Health Systems, Inc.","Atlanta","809","5200 NE 2ND AVENUE","","MIAMI","FL","33137","Director of Quality and C","Lewars","Olga","","1-305-751-8626","68299","1-305-795-1855","Olewars@miamijewishhealth.org","5200 NE 2nd Avenue","","Miami","FL","33137","12/04/2018"
"FRANCISCAN ACO, INC.","Franciscan  Senior Health & Wellness","H5124","National PACE","National PACE","01/01/2015","Not-for-Profit/Non-Profit","Franciscan Alliance, Inc.","Chicago","228","700 E Southport Road","8325 Southport Road Ste. 120","Indianapolis","IN","46227","Director of PACE","Homeier","Peggy","","1-317-782-8012","","","Peggy.homeier@franciscanalliance.org","1300 Albany Street","","Beech Grove","IN","46107","08/19/2019"
